Date,EEM
1999-09-14,412.987
1999-09-15,408.767
1999-09-16,402.817
1999-09-17,403.372
1999-09-20,406.269
1999-09-21,403.337
1999-09-22,402.334
1999-09-23,399.466
1999-09-24,397.251
1999-09-27,393.652
1999-09-28,395.024
1999-09-29,393.817
1999-09-30,391.069
1999-10-01,391.163
1999-10-04,392.253
1999-10-05,392.313
1999-10-06,397.130
1999-10-07,403.118
1999-10-08,403.061
1999-10-11,404.406
1999-10-12,406.788
1999-10-13,401.785
1999-10-14,401.437
1999-10-15,393.500
1999-10-18,386.811
1999-10-19,388.034
1999-10-20,393.606
1999-10-21,391.356
1999-10-22,393.577
1999-10-25,392.024
1999-10-26,392.306
1999-10-27,390.427
1999-10-28,394.592
1999-10-29,399.053
1999-11-01,403.928
1999-11-02,407.327
1999-11-03,411.032
1999-11-04,415.715
1999-11-05,419.727
1999-11-08,420.710
1999-11-09,424.664
1999-11-10,425.447
1999-11-11,427.362
1999-11-12,428.339
1999-11-15,429.593
1999-11-16,431.759
1999-11-17,427.275
1999-11-18,429.370
1999-11-19,434.594
1999-11-22,435.052
1999-11-23,434.561
1999-11-24,432.558
1999-11-25,434.102
1999-11-26,432.995
1999-11-29,435.204
1999-11-30,434.698
1999-12-01,438.061
1999-12-02,441.569
1999-12-03,445.225
1999-12-06,448.853
1999-12-07,447.351
1999-12-08,449.188
1999-12-09,450.038
1999-12-10,457.095
1999-12-13,460.719
1999-12-14,455.713
1999-12-15,453.213
1999-12-16,453.441
1999-12-17,456.974
1999-12-20,462.011
1999-12-21,464.066
1999-12-22,467.571
1999-12-23,468.098
1999-12-24,470.504
1999-12-27,473.868
1999-12-28,477.239
1999-12-29,481.905
1999-12-30,487.230
1999-12-31,489.420
2000-01-03,496.222
2000-01-04,500.379
2000-01-05,491.091
2000-01-06,486.038
2000-01-07,492.095
2000-01-10,506.695
2000-01-11,498.120
2000-01-12,500.594
2000-01-13,508.080
2000-01-14,515.630
2000-01-17,524.382
2000-01-18,522.650
2000-01-19,511.538
2000-01-20,510.702
2000-01-21,507.487
2000-01-24,507.632
2000-01-25,499.705
2000-01-26,501.025
2000-01-27,502.354
2000-01-28,499.047
2000-01-31,491.393
2000-02-01,495.364
2000-02-02,499.459
2000-02-03,509.630
2000-02-04,515.427
2000-02-07,521.868
2000-02-08,525.594
2000-02-09,528.274
2000-02-10,530.987
2000-02-11,529.450
2000-02-14,520.616
2000-02-15,518.886
2000-02-16,518.963
2000-02-17,523.208
2000-02-18,518.601
2000-02-21,514.573
2000-02-22,506.772
2000-02-23,509.722
2000-02-24,510.306
2000-02-25,505.516
2000-02-28,497.235
2000-02-29,497.741
2000-03-01,509.580
2000-03-02,517.069
2000-03-03,516.309
2000-03-06,517.217
2000-03-07,516.727
2000-03-08,519.123
2000-03-09,520.207
2000-03-10,518.632
2000-03-13,500.727
2000-03-14,498.175
2000-03-15,494.383
2000-03-16,496.299
2000-03-17,499.905
2000-03-20,495.575
2000-03-21,500.972
2000-03-22,501.956
2000-03-23,508.114
2000-03-24,514.125
2000-03-27,519.322
2000-03-28,515.103
2000-03-29,513.097
2000-03-30,502.588
2000-03-31,499.404
2000-04-03,494.816
2000-04-04,487.465
2000-04-05,484.907
2000-04-06,489.723
2000-04-07,500.303
2000-04-10,504.766
2000-04-11,496.939
2000-04-12,490.298
2000-04-13,479.393
2000-04-14,464.265
2000-04-17,437.967
2000-04-18,449.617
2000-04-19,446.350
2000-04-20,449.168
2000-04-21,450.557
2000-04-24,442.429
2000-04-25,448.403
2000-04-26,447.484
2000-04-27,445.066
2000-04-28,451.359
2000-05-01,451.288
2000-05-02,451.621
2000-05-03,443.669
2000-05-04,443.451
2000-05-05,446.251
2000-05-08,441.430
2000-05-09,440.629
2000-05-10,435.205
