Date,EZA
2003-01-17,155.791
2003-01-20,155.016
2003-01-21,151.751
2003-01-22,152.075
2003-01-23,153.884
2003-01-24,151.866
2003-01-27,149.387
2003-01-28,149.226
2003-01-29,151.021
2003-01-30,149.905
2003-01-31,149.020
2003-02-3,150.006
2003-02-4,152.574
2003-02-5,152.243
2003-02-6,153.761
2003-02-7,152.236
2003-02-10,150.172
2003-02-11,151.773
2003-02-12,150.968
2003-02-13,148.358
2003-02-14,149.196
2003-02-17,149.972
2003-02-18,148.612
2003-02-19,148.783
2003-02-20,150.289
2003-02-21,152.159
2003-02-24,151.284
2003-02-25,148.699
2003-02-26,149.735
2003-02-27,149.539
2003-02-28,150.074
2003-03-3,151.640
2003-03-4,149.689
2003-03-5,150.221
2003-03-6,146.497
2003-03-7,145.174
2003-03-10,143.090
2003-03-11,140.195
2003-03-12,138.452
2003-03-13,141.154
2003-03-14,142.246
2003-03-17,141.143
2003-03-18,146.063
2003-03-19,146.475
2003-03-20,144.340
2003-03-21,143.175
2003-03-24,142.053
2003-03-25,142.013
2003-03-26,141.890
2003-03-27,141.421
2003-03-28,138.794
2003-03-31,140.872
2003-04-1,143.055
2003-04-2,143.922
2003-04-3,145.316
2003-04-4,142.572
2003-04-7,144.702
2003-04-8,142.354
2003-04-9,142.973
2003-04-10,143.153
2003-04-11,144.525
2003-04-14,144.614
2003-04-15,146.210
2003-04-16,145.240
2003-04-17,145.547
2003-04-18,145.547
2003-04-21,145.023
2003-04-22,146.029
2003-04-23,146.975
2003-04-24,146.847
2003-04-25,145.670
2003-04-28,146.889
2003-04-29,146.858
2003-04-30,147.865
2003-05-1,147.943
2003-05-2,147.163
2003-05-5,151.930
2003-05-6,151.159
2003-05-7,150.626
2003-05-8,148.852
2003-05-9,150.630
2003-05-12,151.992
2003-05-13,153.439
2003-05-14,152.215
2003-05-15,150.563
2003-05-16,151.165
2003-05-19,149.124
2003-05-20,149.405
2003-05-21,149.499
2003-05-22,148.199
2003-05-23,149.953
2003-05-26,151.472
2003-05-27,148.683
2003-05-28,150.144
2003-05-29,150.873
2003-05-30,152.509
2003-06-2,154.116
2003-06-3,153.242
2003-06-4,152.963
2003-06-5,157.603
2003-06-6,158.418
2003-06-9,158.417
2003-06-10,157.890
2003-06-11,157.081
2003-06-12,158.303
2003-06-13,157.811
2003-06-16,159.310
2003-06-17,161.362
2003-06-18,159.323
2003-06-19,161.046
2003-06-20,160.637
2003-06-23,157.607
2003-06-24,156.451
2003-06-25,156.592
2003-06-26,156.846
2003-06-27,157.823
2003-06-30,158.501
2003-07-1,160.108
2003-07-2,162.086
2003-07-3,163.496
2003-07-4,161.347
2003-07-7,162.351
2003-07-8,163.886
2003-07-9,162.520
2003-07-10,162.383
2003-07-11,162.778
2003-07-14,166.575
2003-07-15,164.177
2003-07-16,160.534
2003-07-17,158.732
2003-07-18,158.730
2003-07-21,158.763
2003-07-22,159.922
2003-07-23,161.465
2003-07-24,163.582
2003-07-25,168.019
2003-07-28,171.489
2003-07-29,169.714
2003-07-30,168.524
2003-07-31,169.071
2003-08-1,168.616
2003-08-4,169.050
2003-08-5,169.155
2003-08-6,169.916
2003-08-7,171.378
2003-08-8,170.486
2003-08-11,172.639
2003-08-12,174.059
2003-08-13,174.703
2003-08-14,175.318
2003-08-15,175.354
2003-08-18,176.386
2003-08-19,177.412
2003-08-20,177.959
2003-08-21,178.425
2003-08-22,178.555
2003-08-25,176.459
2003-08-26,176.103
2003-08-27,177.381
2003-08-28,178.121
2003-08-29,179.256
2003-09-1,181.635
2003-09-2,179.532
2003-09-3,182.703
2003-09-4,181.841
2003-09-5,183.048
2003-09-8,181.269
2003-09-9,183.275
2003-09-10,181.778
2003-09-11,180.323
2003-09-12,180.120
2003-09-15,179.322
2003-09-16,179.284
2003-09-17,181.091
2003-09-18,182.446
2003-09-19,181.796
2003-09-22,182.955
2003-09-23,182.474
2003-09-24,182.570
2003-09-25,182.632
2003-09-26,179.808
2003-09-29,180.656
2003-09-30,180.854
2003-10-1,181.225
2003-10-2,184.880
2003-10-3,187.642
2003-10-6,186.728
2003-10-7,188.116
2003-10-8,189.490
2003-10-9,192.556
2003-10-10,192.814
2003-10-13,193.734
2003-10-14,193.585
2003-10-15,192.958
2003-10-16,194.924
2003-10-17,193.743
2003-10-20,191.639
2003-10-21,192.420
2003-10-22,193.224
2003-10-23,191.887
2003-10-24,193.550
2003-10-27,194.445
2003-10-28,194.794
2003-10-29,197.028
2003-10-30,199.794
2003-10-31,198.694
2003-11-3,199.872
2003-11-4,199.842
2003-11-5,198.715
2003-11-6,199.845
2003-11-7,200.157
2003-11-10,200.237
2003-11-11,198.186
2003-11-12,199.634
2003-11-13,205.294
2003-11-14,208.542
2003-11-17,205.005
2003-11-18,204.915
2003-11-19,205.610
2003-11-20,203.660
2003-11-21,206.329
2003-11-24,203.492
2003-11-25,205.630
2003-11-26,209.316
2003-11-27,209.588
2003-11-28,213.444
2003-12-1,219.013
2003-12-2,219.409
2003-12-3,218.495
2003-12-4,214.127
2003-12-5,216.085
2003-12-8,212.447
2003-12-9,214.377
2003-12-10,211.125
2003-12-11,211.142
2003-12-12,212.444
2003-12-15,216.344
2003-12-16,215.451
2003-12-17,212.158
2003-12-18,210.531
2003-12-19,206.521
2003-12-22,207.571
2003-12-23,208.975
2003-12-24,214.478
2003-12-25,214.478
2003-12-26,214.558
2003-12-29,213.927
2003-12-30,219.219
2003-12-31,216.618
2004-01-1,216.618
2004-01-2,222.673
2004-01-5,229.017
2004-01-6,224.780
2004-01-7,222.575
2004-01-8,219.545
2004-01-9,218.130
2004-01-12,214.132
2004-01-13,219.871
2004-01-14,214.639
2004-01-15,207.234
2004-01-16,210.242
2004-01-19,210.771
2004-01-20,213.822
2004-01-21,212.106
2004-01-22,215.313
2004-01-23,216.180
2004-01-26,217.832
2004-01-27,217.848
2004-01-28,219.556
2004-01-29,215.140
2004-01-30,214.650
2004-02-2,215.802
2004-02-3,220.194
2004-02-4,218.289
2004-02-5,214.502
2004-02-6,216.573
2004-02-9,218.040
2004-02-10,221.062
2004-02-11,218.835
2004-02-12,226.328
2004-02-13,229.590
2004-02-16,227.143
2004-02-17,231.264
2004-02-18,231.936
2004-02-19,230.506
2004-02-20,225.244
2004-02-23,226.870
2004-02-24,225.820
2004-02-25,226.145
2004-02-26,226.050
2004-02-27,227.121
2004-03-1,231.925
2004-03-2,233.532
2004-03-3,226.531
2004-03-4,226.015
2004-03-5,234.289
2004-03-8,232.539
2004-03-9,232.168
2004-03-10,226.667
2004-03-11,221.666
2004-03-12,220.671
2004-03-15,220.972
2004-03-16,221.453
2004-03-17,220.083
2004-03-18,225.959
2004-03-19,225.175
2004-03-22,230.834
2004-03-23,225.644
2004-03-24,222.003
2004-03-25,222.797
2004-03-26,223.917
2004-03-29,228.015
2004-03-30,232.083
2004-03-31,234.008
2004-04-1,235.001
2004-04-2,233.087
2004-04-5,235.024
2004-04-6,236.152
2004-04-7,238.433
2004-04-8,236.648
2004-04-9,236.648
2004-04-12,237.917
2004-04-13,231.857
2004-04-14,228.532
2004-04-15,225.987
2004-04-16,230.314
2004-04-19,225.921
2004-04-20,227.259
2004-04-21,216.944
2004-04-22,211.723
2004-04-23,214.007
2004-04-26,216.128
2004-04-27,216.410
2004-04-28,209.296
2004-04-29,207.445
2004-04-30,201.879
2004-05-3,201.390
2004-05-4,207.415
2004-05-5,210.157
2004-05-6,205.254
2004-05-7,201.310
2004-05-10,194.162
2004-05-11,198.143
2004-05-12,198.081
2004-05-13,197.622
2004-05-14,194.451
2004-05-17,195.595
2004-05-18,193.596
2004-05-19,202.599
2004-05-20,200.190
2004-05-21,201.658
2004-05-24,201.132
2004-05-25,204.762
2004-05-26,208.984
2004-05-27,214.016
2004-05-28,214.383
2004-05-31,216.664
2004-06-1,218.951
2004-06-2,216.847
2004-06-3,214.893
2004-06-4,213.401
2004-06-7,217.252
2004-06-8,215.670
2004-06-9,213.307
2004-06-10,213.393
2004-06-11,210.453
2004-06-14,207.585
2004-06-15,208.486
2004-06-16,208.031
2004-06-17,208.614
2004-06-18,213.934
2004-06-21,215.214
2004-06-22,214.135
2004-06-23,214.533
2004-06-24,217.643
2004-06-25,217.642
2004-06-28,220.392
2004-06-29,217.770
2004-06-30,218.751
2004-07-1,219.268
2004-07-2,220.612
2004-07-5,219.933
2004-07-6,216.022
2004-07-7,220.211
2004-07-8,220.876
2004-07-9,220.667
2004-07-12,222.214
2004-07-13,224.146
2004-07-14,224.277
2004-07-15,224.102
2004-07-16,223.941
2004-07-19,223.892
2004-07-20,222.133
2004-07-21,221.768
2004-07-22,220.538
2004-07-23,216.719
2004-07-26,216.651
2004-07-27,215.116
2004-07-28,218.328
2004-07-29,218.628
2004-07-30,220.920
2004-08-2,220.444
2004-08-3,222.647
2004-08-4,224.968
2004-08-5,224.079
2004-08-6,223.699
2004-08-9,225.774
2004-08-10,223.299
2004-08-11,220.085
2004-08-12,220.952
2004-08-13,222.027
2004-08-16,223.050
2004-08-17,223.956
2004-08-18,223.229
2004-08-19,224.563
2004-08-20,225.826
2004-08-23,226.996
2004-08-24,223.225
2004-08-25,223.513
2004-08-26,227.335
2004-08-27,225.572
2004-08-30,226.635
2004-08-31,228.358
2004-09-1,228.535
2004-09-2,230.950
2004-09-3,229.357
2004-09-6,230.166
2004-09-7,226.861
2004-09-8,227.272
2004-09-9,228.157
2004-09-10,232.439
2004-09-13,232.642
2004-09-14,236.307
2004-09-15,232.042
2004-09-16,235.201
2004-09-17,237.427
2004-09-20,239.936
2004-09-21,242.430
2004-09-22,240.706
2004-09-23,243.239
2004-09-24,244.104
2004-09-27,242.754
2004-09-28,245.474
2004-09-29,246.305
2004-09-30,246.638
2004-10-1,248.039
2004-10-4,247.237
2004-10-5,245.366
2004-10-6,248.300
2004-10-7,247.989
2004-10-8,250.704
2004-10-11,249.278
2004-10-12,244.579
2004-10-13,240.070
2004-10-14,243.659
2004-10-15,248.348
2004-10-18,249.575
2004-10-19,250.472
2004-10-20,248.226
2004-10-21,252.687
2004-10-22,253.928
2004-10-25,253.411
2004-10-26,254.248
2004-10-27,259.836
2004-10-28,258.862
2004-10-29,256.377
2004-11-1,260.263
2004-11-2,258.849
2004-11-3,262.983
2004-11-4,264.331
2004-11-5,266.252
2004-11-8,265.210
2004-11-9,266.770
2004-11-10,267.745
2004-11-11,270.304
2004-11-12,269.907
2004-11-15,272.783
2004-11-16,273.621
2004-11-17,277.035
2004-11-18,275.915
2004-11-19,276.622
2004-11-22,274.733
2004-11-23,275.814
2004-11-24,278.487
2004-11-25,282.493
2004-11-26,287.716
2004-11-29,294.609
2004-11-30,292.156
2004-12-1,293.827
2004-12-2,289.473
2004-12-3,290.387
2004-12-6,289.886
2004-12-7,288.913
2004-12-8,281.169
2004-12-9,282.019
2004-12-10,283.100
2004-12-13,287.731
2004-12-14,289.348
2004-12-15,291.282
2004-12-16,289.488
2004-12-17,290.290
2004-12-20,294.723
2004-12-21,295.947
2004-12-22,298.068
2004-12-23,301.323
2004-12-24,300.540
2004-12-27,302.438
2004-12-28,304.241
2004-12-29,301.303
2004-12-30,302.751
2004-12-31,304.708
2005-01-3,306.606
2005-01-4,295.319
2005-01-5,290.340
2005-01-6,281.209
2005-01-7,280.265
2005-01-10,284.221
2005-01-11,283.869
2005-01-12,286.248
2005-01-13,284.060
2005-01-14,284.338
2005-01-17,277.730
2005-01-18,273.475
2005-01-19,273.589
2005-01-20,270.763
2005-01-21,275.102
2005-01-24,279.737
2005-01-25,278.639
2005-01-26,281.097
2005-01-27,285.314
2005-01-28,283.947
2005-01-31,286.810
2005-02-1,283.519
2005-02-2,280.868
2005-02-3,277.961
2005-02-4,279.559
2005-02-7,275.456
2005-02-8,273.398
2005-02-9,276.335
2005-02-10,279.041
2005-02-11,283.402
2005-02-14,286.859
2005-02-15,286.638
2005-02-16,289.729
2005-02-17,294.035
2005-02-18,295.534
2005-02-21,297.151
2005-02-22,305.316
2005-02-23,303.728
2005-02-24,305.185
2005-02-25,306.062
2005-02-28,310.667
2005-03-1,308.307
2005-03-2,303.649
2005-03-3,302.126
2005-03-4,308.743
2005-03-7,307.390
2005-03-8,314.429
2005-03-9,314.915
2005-03-10,310.414
2005-03-11,311.507
2005-03-14,304.216
2005-03-15,296.726
2005-03-16,294.456
2005-03-17,294.088
2005-03-18,295.877
2005-03-21,292.852
2005-03-22,291.977
2005-03-23,281.738
2005-03-24,277.445
2005-03-25,277.445
2005-03-28,271.879
2005-03-29,272.216
2005-03-30,274.626
2005-03-31,280.509
2005-04-1,286.469
2005-04-4,278.804
2005-04-5,280.587
2005-04-6,284.855
2005-04-7,284.846
2005-04-8,283.130
2005-04-11,283.443
2005-04-12,279.419
2005-04-13,279.127
2005-04-14,274.073
2005-04-15,273.791
2005-04-18,271.367
2005-04-19,276.377
2005-04-20,278.326
2005-04-21,277.833
2005-04-22,278.554
2005-04-25,276.434
2005-04-26,278.632
2005-04-27,279.034
2005-04-28,269.888
2005-04-29,274.191
2005-05-2,273.437
2005-05-3,275.331
2005-05-4,280.861
2005-05-5,285.001
2005-05-6,285.347
2005-05-9,285.623
2005-05-10,283.741
2005-05-11,282.979
2005-05-12,278.346
2005-05-13,273.545
2005-05-16,273.338
2005-05-17,268.965
2005-05-18,272.111
2005-05-19,272.517
2005-05-20,268.796
2005-05-23,271.511
2005-05-24,269.488
2005-05-25,271.850
2005-05-26,271.458
2005-05-27,273.556
2005-05-30,272.985
2005-05-31,263.475
2005-06-1,258.885
2005-06-2,262.230
2005-06-3,266.049
2005-06-6,271.999
2005-06-7,273.155
2005-06-8,270.931
2005-06-9,263.659
2005-06-10,265.981
2005-06-13,266.490
2005-06-14,265.424
2005-06-15,269.494
2005-06-16,271.376
2005-06-17,277.799
2005-06-20,274.784
2005-06-21,273.896
2005-06-22,275.696
2005-06-23,274.176
2005-06-24,273.446
2005-06-27,274.280
2005-06-28,275.743
2005-06-29,275.862
2005-06-30,276.344
2005-07-1,273.458
2005-07-4,272.165
2005-07-5,271.708
2005-07-6,273.932
2005-07-7,272.378
2005-07-8,271.863
2005-07-11,281.344
2005-07-12,293.727
2005-07-13,291.638
2005-07-14,297.653
2005-07-15,294.384
2005-07-18,293.468
2005-07-19,292.333
2005-07-20,292.722
2005-07-21,296.652
2005-07-22,297.334
2005-07-25,298.490
2005-07-26,294.254
2005-07-27,297.492
2005-07-28,299.994
2005-07-29,299.993
2005-08-1,305.495
2005-08-2,308.058
2005-08-3,312.789
2005-08-4,314.425
2005-08-5,311.768
2005-08-8,314.568
2005-08-9,313.814
2005-08-10,322.503
2005-08-11,323.945
2005-08-12,322.820
2005-08-15,322.589
2005-08-16,319.973
2005-08-17,313.271
2005-08-18,309.528
2005-08-19,311.430
2005-08-22,316.093
2005-08-23,314.662
2005-08-24,313.027
2005-08-25,311.744
2005-08-26,310.528
